0.5684,0.5443,0.5251
0.5819,0.4699,0.4210
0.5741,0.5211,0.4874
0.7620,0.7700,0.7084
0.6760,0.6991,0.7131
0.4561,0.4571,0.5648
0.6355,0.6160,0.5771
0.7120,0.6887,0.6601
0.6098,0.5608,0.4819
0.7393,0.6833,0.6506
0.5310,0.4539,0.4036
0.6756,0.5788,0.5351
0.7063,0.5710,0.5051
0.6656,0.6649,0.5959
0.5766,0.5280,0.5268
0.6933,0.5112,0.5088
0.7002,0.6067,0.5691
0.5458,0.5233,0.3652
0.7322,0.5526,0.5178
0.4920,0.4821,0.4911
0.7094,0.5596,0.5551
0.5485,0.4466,0.4324
0.7469,0.7249,0.7603
0.5100,0.3139,0.3057
0.7450,0.6852,0.5369
0.7493,0.6850,0.6319
0.8107,0.7671,0.6486
0.6388,0.6872,0.4769
0.7278,0.7087,0.6722
0.6782,0.6688,0.5771
0.6955,0.6240,0.6647
0.5932,0.5475,0.6251
0.6834,0.5500,0.5240
0.6016,0.5189,0.4950
0.3330,0.3152,0.2556
0.8409,0.8176,0.7627
0.6870,0.5873,0.5536
0.6777,0.6225,0.5786
0.7104,0.6191,0.6266
0.5644,0.3880,0.2322
0.6784,0.6308,0.4301
0.7376,0.7748,0.6906
0.5571,0.4881,0.2537
0.6018,0.5390,0.5977
0.7938,0.8028,0.8108
0.5988,0.5680,0.6712
0.7869,0.7015,0.7726
0.6544,0.6485,0.6430
0.6429,0.5852,0.5078
0.8905,0.8491,0.8135
0.7777,0.7341,0.7426
0.6653,0.6782,0.6271
0.9133,0.8265,0.8400
0.6237,0.6244,0.6474
0.6932,0.6751,0.6007
0.8045,0.7643,0.6461
0.7621,0.5965,0.5954
0.7085,0.7027,0.6705
0.6889,0.7035,0.5612
0.7090,0.7257,0.7806
0.7100,0.6724,0.6870
0.5604,0.4480,0.4344
0.5148,0.6494,0.6508
0.0719,0.0782,0.0000
0.8243,0.7649,0.7874
0.6101,0.5557,0.5187
0.4926,0.4926,0.4817
0.8140,0.7752,0.7951
0.4720,0.4313,0.3982
0.7124,0.7255,0.6252
0.7575,0.7458,0.7092
0.5515,0.4773,0.5046
0.7216,0.7354,0.7383
0.8290,0.7738,0.6333
0.2483,0.2882,0.3142
0.6740,0.4958,0.4833
0.7385,0.6352,0.4906
1.0000,0.8316,0.7977
0.8228,0.7595,0.7130
0.7771,0.7656,0.7172
0.5464,0.2901,0.3871
0.5747,0.4985,0.3816
0.3550,0.3175,0.1191
0.6881,0.3393,0.5320
0.3228,0.2908,0.3128
0.6439,0.6499,0.7452
0.6773,0.7228,0.7153
0.7642,0.7262,0.7584
0.7520,0.7346,0.7387
0.7438,0.6661,0.5978
0.6925,0.6423,0.5381
0.8199,0.7733,0.6263
0.8390,0.8515,0.8024
0.7904,0.7983,0.6895
0.7965,0.7345,0.6595
